entityID:ID,name,:LABEL
473,杨梅,Person
474,李尕,Person
475,黄颂平,Person
476,特鲁特涅夫,Person
477,李国利,Person
478,李华林,Person
479,米尔济,Person
480,莫尼列,Person
481,白春礼,Person
482,陈雨露,Person
483,丛亮,Person
484,施雨岑,Person
485,姚剑锋,Person
486,李忠发,Person
487,丁根厚,Person
488,崔文毅,Person
489,奥利,Person
490,姜琳,Person
491,美联社,Department
492,林晖,Person
493,恩格尔,Person
494,拉林,Person
495,莫盖里尼,Person
496,赵颖全,Person
497,王茜,Person
498,傅新春,Person
499,孟德龙,Person
500,焦雅辉,Person
501,朱虹,Person
502,李兴乾,Person
503,林丽鹂,Person
504,苏辉,Person
505,比尔,Person
506,盖茨,Person
507,袁达,Person
508,孙中喆,Person
509,刘平芝,Person
510,杜洋,Person
511,邢志宏,Person
512,余俊杰,Person
513,塞西,Person
514,邱玥,Person
515,鄂竟平,Person
516,巴特尔,Person
517,孙国峰,Person
518,韩俊,Person
519,诺贝尔,Person
520,统战部,Department
521,高亢,Person
522,江泽民,Person
523,王江平,Person
524,傅政华,Person
525,王菲,Person
526,张燕生,Person
527,牛犁,Person
528,傅建斌,Person
529,徐佩玉,Person
530,张烁,Person
531,陈晨,Person
532,高虎城,Person
533,穆迪,Person
534,肖远企,Person
535,陈思汗,Person
536,王毓国,Person
537,李锦,Person
538,杨宝森,Person
539,菲德尔,Person
540,奥巴马,Person
541,江泽,Person
542,李作成,Person
543,齐志明,Person
544,王青,Person
545,武契奇,Person
546,冯德莱恩,Person
547,刘开雄,Person
548,唐文弘,Person
549,蓬佩奥,Person
550,黄守宏,Person
551,陈肇雄,Person
552,符拉迪沃斯托克,Person
553,交通部,Department
554,张宏祥,Person
555,基辛格,Person
556,张洋,Person
557,王培安,Person
558,龙绍聪,Person
559,商超,Person
560,内务部,Department
561,翟健岚,Person
562,​​​​,Person
563,莱特希泽,Person
564,徐绍史,Person
565,吴嘉林,Person
566,王国庆,Person
567,姚依林,Person
568,张升民,Person
569,卢卡申科,Person
570,拉夫,Person
571,白玛赤林,Person
572,皮涅拉,Person
573,泽维多,Person
574,潘思危,Person
575,连平,Person
576,黄博涵,Person
577,米佐塔基斯,Person
578,刘世锦,Person
579,科斯塔,Person
580,程丽华,Person
581,里波夫,Person
582,黄艳,Person
583,刘奇葆,Person
584,高云龙,Person
585,章建华,Person
586,李慧,Person
587,王轶辰,Person
588,李鸿忠,Person
589,亚历山大,Person
590,河野太郎,Person
591,李雪主,Person
592,刘玉,Person
593,李宣良,Person
594,张莹,Person
595,谭谟晓,Person
596,屈原,Person
597,蒙钟德,Person
598,韩瑜庆,Person
599,马云,Person
600,潘建成,Person
601,孔德晨,Person
602,辜胜阻,Person
603,微软,Department
604,梁子栋,Person
605,郭静原,Person
606,孟方,Person
607,郭高平,Person
608,张金加,Person
609,德索萨,Person
610,俞方平,Person
611,张铖,Person
612,绳国庆,Person
613,周茂华,Person
614,魏百刚,Person
615,陈晓东,Person
616,扎里夫,Person
617,王慧慧,Person
618,郭树清,Person
619,袁隆平,Person
620,玛纳斯,Person
621,李彦宏,Person
622,陈敏尔,Person
623,林念修,Person
624,常钦,Person
625,夏宝龙,Person
626,珊珊,Person
627,宗长青,Person
628,熊先军,Person
629,聂明隽,Person
630,赵英民,Person
631,本扬,Person
632,许召元,Person
633,曾益新,Person
634,崔凡,Person
635,郭燕红,Person
636,贾敏杰,Person
637,汤德宏,Person
638,王宾,Person
639,昆仑队,Department
640,马化腾,Person
641,杨芳,Person
642,王馨,Person
643,陈冯富珍,Person
644,刘瑾,Person
645,汤涛,Person
646,杨振武,Person
647,董建华,Person
648,周蕊,Person
649,闻库,Person
650,卢胡特,Person
651,约翰逊,Person
652,高锐,Person
653,赵锡军,Person
654,刘天,Person
655,谢剑飞,Person
656,莫莫格,Person
657,张忠富,Person
658,李钢,Person
659,保尔森,Person
660,刘东岳,Person
661,高铁崔,Person
662,赵南起,Person
663,萨勒曼,Person
664,维稳,Person
665,中国银联,Department
666,冼国义,Person
667,陈静,Person
668,安全部,Department
669,曹志,Person
670,吴忠,Person
671,陈其保,Person
672,余欣荣,Person
673,张桃林,Person
674,王海滨,Person
675,白国龙,Person
676,蒂勒森,Person
677,福田康夫,Person
678,李希,Person
679,郑建邦,Person
680,何维,Person
681,迪亚斯,Person
682,符合国,Department
683,曹正平,Person
684,卡特彼勒,Person
685,李勇浩,Person
686,徐劲柏,Person
687,梅迪纳,Person
688,刘宪国,Person
689,白梅,Person
690,杨静仁,Person
691,李朴民,Person
692,纳吉布,Person
693,汤姆森,Person
694,李爱平,Person
695,拉苏尔佐达,Person
696,王广华,Person
697,任鸿斌,Person
698,邵鸿,Person
699,王伟,Person
700,王宁,Person
701,根哥布,Person
702,姆南加古瓦,Person
703,人民日报社,Department
704,马丁,Person
705,杨伟民,Person
706,库雷希,Person
707,司马义,Person
708,盖莱,Person
709,黎寒池,Person
710,高铁张,Person
711,许昆林,Person
712,卡博雷,Person
713,铁木尔,Person
714,马卓言,Person
715,内政部,Department
716,屈婷,Person
717,彼得,Person
718,邬贺铨,Person
719,杨传堂,Person
720,刘新成,Person
721,中老,Person
722,贺南洪,Person
723,卡内尔,Person
724,许宏才,Person
725,徐南平,Person
726,郝薇薇,Person
727,黄洪,Person
728,鲁元珍,Person
729,卡泰宁,Person
730,白天亮,Person
731,毛致用,Person
732,胡静林,Person
733,庄咳,Person
734,李金早,Person
735,郭志强,Person
736,朱隽,Person
737,张纪南,Person
738,卢展工,Person
739,郁静娴,Person
740,李红梅,Person
741,沙龙,Person
742,王一鸣,Person
743,孙文剑,Person
744,范平明,Person
745,周琳,Person
746,李万祥,Person
747,秦廷富,Person
748,贺春雨,Person
749,郭金龙,Person
750,刘勤利,Person
751,孔铉佑,Person
752,巴赫,Person
753,安德鲁,Person
754,张晓亮,Person
755,刘宇南,Person
756,张拉,Person
757,王攀,Person
758,常万,Person
759,卡里莫夫,Person
760,谷业凯,Person
761,陈凤英,Person
762,刘国强,Person
763,王迪,Person
764,邱超奕,Person
765,李长安,Person
766,沃尔玛,Person
767,陈冀,Person
768,张峰,Person
769,黄树贤,Person
770,宋纪元,Person
771,曾衍德,Person
772,曹红艳,Person
773,南存辉,Person
774,汪永清,Person
775,九三学社,Department
776,布尔纳比奇,Person
777,唐珂,Person
778,朱光耀,Person
779,沈亦伶,Person
780,孙国君,Person
781,蒲晓旭,Person
782,龙元彬,Person
783,法新社,Department
784,陈贽,Person
785,多瓦尔,Person
786,齐普拉斯,Person
787,王蒙徽,Person
788,叶选平,Person
789,刘元春,Person
790,龙巍,Person
791,张志贤,Person
792,陈晓华,Person
793,张广志,Person
794,荣启涵,Person
795,陈翰咏,Person
796,内塔尼亚胡,Person
797,王瑞杰,Person
798,訾谦,Person
799,欧青平,Person
800,邹伟,Person
801,扎堆,Person
802,刘奕湛,Person
803,王秉阳,Person
804,韩传号,Person
805,史竞男,Person
806,徐钦,Person
807,吴恒,Person
808,邱小平,Person
809,肖扬,Person
810,解振华,Person
811,特梅尔,Person
812,艾买提,Person
813,裴鑫,Person
814,徐博,Person
815,彼得森,Person
816,黄俊毅,Person
817,盘和林,Person
818,吕玉刚,Person
819,陈全国,Person
820,丁小溪,Person
821,徐兵,Person
822,吴乐珺,Person
823,陆敏,Person
824,张富清,Person
825,周亮,Person
826,徐洪才,Person
827,袁梦晨,Person
828,陶军,Person
829,周鸿祎,Person
830,谭凯兴,Person
831,孙中山,Person
832,鄂永健,Person
833,许晟,Person
834,陆文祥,Person
835,郭玮,Person
836,邓勇,Person
837,埃蒂安,Person
838,庄文斌,Person
839,陈政高,Person
840,马明,Person
841,石柱土,Person
842,葛孟超,Person
843,王泽彩,Person
844,苏杰生,Person
845,欧莱雅,Person
846,何欣荣,Person
847,刘羊旸,Person
848,塔斯社,Department
849,崔国强,Person
850,王志军,Person
851,洛钦,Person
852,文韬,Person
853,李健,Person
854,马斯,Person
855,马茂,Person
856,贾康,Person
857,尼尼斯托,Person
858,费茂华,Person
859,彭张青,Person
860,王彦冰,Person
861,邓先鹤,Person
862,唐振江,Person
863,丁石孙,Person
864,任鹏飞,Person
865,吴吉斌,Person
866,莫莫格国,Person
867,曼德拉,Person
868,亨特,Person
869,席尔瓦,Person
870,陈大光,Person
871,娄洪,Person
872,范德贝伦,Person
873,奥朗德,Person
874,zhengfu,Person
875,监察部,Department
876,杨汝岱,Person
877,付聪,Person
878,王念兹,Person
879,张璁,Person
880,刘炳江,Person
881,刘军国,Person
882,唐军,Person
883,顾仲阳,Person
884,萨巴赫,Person
885,王磊,Person
886,赵龙,Person
887,王光英,Person
888,郑济高铁,Person
889,姜天骄,Person
890,帕巴拉,Person
891,格列朗杰,Person
892,杨维汉,Person
893,詹姆斯,Person
894,张涛,Person
895,毕晓洋,Person
896,隆国强,Person
897,侯赛因,Person
898,普拉昌达,Person
899,卡拉,Person
900,巴尔加斯,Person
901,黄蜀葵,Person
902,胡凯红,Person
903,杭兴微,Person
904,朱东阳,Person
905,沈莹,Person
906,潘跃,Person
907,李之南,Person
908,陈海宁,Person
909,莫氏,Person
910,黄润秋,Person
911,蔡进,Person
912,二阶俊博,Person
913,共同社,Department
914,AR,Person
915,李高,Person
916,徐麟,Person
917,房德华,Person
918,福布斯,Person
919,伊斯梅尔,Person
920,刘玉珠,Person
921,伊素福,Person
922,倪虹,Person
923,褚福灵,Person
924,陈芳,Person
925,莫雷诺,Person
926,乔治,Person
927,王建凡,Person
928,陈中涛,Person
929,张海迪,Person
