:START_ID,weight:float,:END_ID,:TYPE
0,29.5,144,CO_OCCUR_WITH
144,29.5,0,CO_OCCUR_WITH
0,36.0,145,CO_OCCUR_WITH
145,36.0,0,CO_OCCUR_WITH
0,4.5,146,CO_OCCUR_WITH
146,4.5,0,CO_OCCUR_WITH
0,22.5,147,CO_OCCUR_WITH
147,22.5,0,CO_OCCUR_WITH
0,1.0,148,CO_OCCUR_WITH
148,1.0,0,CO_OCCUR_WITH
0,21.5,149,CO_OCCUR_WITH
149,21.5,0,CO_OCCUR_WITH
0,75.5,150,CO_OCCUR_WITH
150,75.5,0,CO_OCCUR_WITH
0,27.0,151,CO_OCCUR_WITH
151,27.0,0,CO_OCCUR_WITH
0,11.0,152,CO_OCCUR_WITH
152,11.0,0,CO_OCCUR_WITH
0,72.5,153,CO_OCCUR_WITH
153,72.5,0,CO_OCCUR_WITH
0,41.0,154,CO_OCCUR_WITH
154,41.0,0,CO_OCCUR_WITH
0,2.5,155,CO_OCCUR_WITH
155,2.5,0,CO_OCCUR_WITH
0,30.5,156,CO_OCCUR_WITH
156,30.5,0,CO_OCCUR_WITH
0,23.0,157,CO_OCCUR_WITH
157,23.0,0,CO_OCCUR_WITH
0,23.0,158,CO_OCCUR_WITH
158,23.0,0,CO_OCCUR_WITH
0,21.0,159,CO_OCCUR_WITH
159,21.0,0,CO_OCCUR_WITH
0,32.0,160,CO_OCCUR_WITH
160,32.0,0,CO_OCCUR_WITH
0,54.0,161,CO_OCCUR_WITH
161,54.0,0,CO_OCCUR_WITH
0,20.5,162,CO_OCCUR_WITH
162,20.5,0,CO_OCCUR_WITH
0,20.5,163,CO_OCCUR_WITH
163,20.5,0,CO_OCCUR_WITH
0,20.5,164,CO_OCCUR_WITH
164,20.5,0,CO_OCCUR_WITH
0,33.0,165,CO_OCCUR_WITH
165,33.0,0,CO_OCCUR_WITH
0,1.5,166,CO_OCCUR_WITH
166,1.5,0,CO_OCCUR_WITH
0,2.0,167,CO_OCCUR_WITH
167,2.0,0,CO_OCCUR_WITH
0,16.5,168,CO_OCCUR_WITH
168,16.5,0,CO_OCCUR_WITH
0,47.0,169,CO_OCCUR_WITH
169,47.0,0,CO_OCCUR_WITH
0,68.0,170,CO_OCCUR_WITH
170,68.0,0,CO_OCCUR_WITH
0,18.0,171,CO_OCCUR_WITH
171,18.0,0,CO_OCCUR_WITH
0,17.0,172,CO_OCCUR_WITH
172,17.0,0,CO_OCCUR_WITH
0,25.0,173,CO_OCCUR_WITH
173,25.0,0,CO_OCCUR_WITH
0,66.5,174,CO_OCCUR_WITH
174,66.5,0,CO_OCCUR_WITH
0,8.0,175,CO_OCCUR_WITH
175,8.0,0,CO_OCCUR_WITH
0,20.5,176,CO_OCCUR_WITH
176,20.5,0,CO_OCCUR_WITH
0,26.0,177,CO_OCCUR_WITH
177,26.0,0,CO_OCCUR_WITH
0,26.0,178,CO_OCCUR_WITH
178,26.0,0,CO_OCCUR_WITH
0,24.0,179,CO_OCCUR_WITH
179,24.0,0,CO_OCCUR_WITH
0,16.0,180,CO_OCCUR_WITH
180,16.0,0,CO_OCCUR_WITH
0,20.0,181,CO_OCCUR_WITH
181,20.0,0,CO_OCCUR_WITH
0,39.5,182,CO_OCCUR_WITH
182,39.5,0,CO_OCCUR_WITH
0,1.0,183,CO_OCCUR_WITH
183,1.0,0,CO_OCCUR_WITH
0,15.5,184,CO_OCCUR_WITH
184,15.5,0,CO_OCCUR_WITH
0,22.0,185,CO_OCCUR_WITH
185,22.0,0,CO_OCCUR_WITH
0,11.0,186,CO_OCCUR_WITH
186,11.0,0,CO_OCCUR_WITH
0,28.0,187,CO_OCCUR_WITH
187,28.0,0,CO_OCCUR_WITH
0,39.5,188,CO_OCCUR_WITH
188,39.5,0,CO_OCCUR_WITH
0,1.0,190,CO_OCCUR_WITH
190,1.0,0,CO_OCCUR_WITH
0,61.0,191,CO_OCCUR_WITH
191,61.0,0,CO_OCCUR_WITH
0,15.5,192,CO_OCCUR_WITH
192,15.5,0,CO_OCCUR_WITH
0,11.5,193,CO_OCCUR_WITH
193,11.5,0,CO_OCCUR_WITH
0,20.0,194,CO_OCCUR_WITH
194,20.0,0,CO_OCCUR_WITH
0,59.0,195,CO_OCCUR_WITH
195,59.0,0,CO_OCCUR_WITH
0,16.5,196,CO_OCCUR_WITH
196,16.5,0,CO_OCCUR_WITH
0,59.5,197,CO_OCCUR_WITH
197,59.5,0,CO_OCCUR_WITH
0,12.5,198,CO_OCCUR_WITH
198,12.5,0,CO_OCCUR_WITH
0,16.5,199,CO_OCCUR_WITH
199,16.5,0,CO_OCCUR_WITH
0,57.5,200,CO_OCCUR_WITH
200,57.5,0,CO_OCCUR_WITH
0,4.0,201,CO_OCCUR_WITH
201,4.0,0,CO_OCCUR_WITH
